SOS_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOS10,77498,53918,67813,60270,51603,42880,30767,21810,15959,422512,1048825,699164,882873,842414,726261,636361,487779,283404,122435,5729517
SOS11,30327,18822,19586,18206,17440,16308,13575,9898,5693,149858,290079,175156,191821,180345,185811,202385,195352,122058,49878,1592895
SOS12,2890,1734,1524,1731,1932,2110,1898,945,409,15181,27008,15180,14511,16244,19795,23898,21909,10498,3050,152099
SOS13,10971,7300,6450,7543,9026,9631,7340,3512,947,62736,102463,63781,51196,62494,83466,95058,77313,33977,8238,577987
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
SOS20,62871,44823,58362,49502,43332,34088,24116,16493,10197,343783,891097,612411,799816,737455,629087,527811,402966,239429,105296,4945361
SOS21,17951,9924,10678,10512,10077,9190,7999,5677,3508,85521,186880,105783,125046,120662,119438,122943,114832,67864,28378,991828
SOS22,1597,1158,892,1044,1201,1393,1123,607,326,9338,16573,9584,9820,10716,12716,15584,13721,6622,2320,97656
SOS23,7453,4973,4759,5632,6605,6876,5357,2576,679,44913,72793,45691,37612,46759,62285,71112,57831,24688,5814,424590
SOS27,0,4,38,98,129,111,13,0,0,389,0,9,52,140,182,158,16,0,0,565
SOS30,54289,39959,44790,39299,35719,28393,21377,13831,8001,285653,678820,469273,525498,504823,468803,396753,320885,182152,68675,3615673
SOS31,19135,12283,14289,13183,13121,12130,9496,5594,2654,101901,182363,106691,117540,113431,116765,123073,113604,63758,22098,959325
SOS32,3406,1758,2021,1993,2227,2429,2170,1034,242,17289,26100,13780,14563,15692,18948,24061,22869,10444,2310,148766
SOS33,9021,6655,8168,8644,9983,9432,6649,2887,555,61993,78835,47639,45278,54695,70455,78639,64062,26853,5159,471627
SOS37,0,13,60,75,43,16,12,0,0,220,6,24,87,111,79,34,14,0,0,354
SOS40,13634,9877,10518,10072,9729,8374,5987,4174,2515,74880,211678,152538,177179,166703,154004,146810,122359,72376,33254,1236891
SOS41,4891,2939,3292,3155,3344,3182,2695,1925,999,26417,58104,35422,38388,37298,41431,44468,42908,26815,10623,335457
SOS42,776,462,448,514,613,807,730,417,215,4968,8160,4666,5035,5163,6277,8441,8139,4153,1601,51642
SOS43,2193,1591,1899,2048,2428,2512,1811,801,181,15469,24969,15064,14123,17090,22217,25707,20110,8245,1710,149237
SOS47,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34
SOS50,26452,17936,20717,19540,17602,13822,10093,7008,4614,137776,387804,244676,286403,289808,255624,221618,176529,97942,39885,2000278
SOS51,9553,5584,7444,7331,6868,6083,4010,2086,923,49877,79692,42053,52349,53805,51916,49969,40660,20677,7433,398565
SOS52,1765,865,1327,1254,1349,1468,1178,556,153,9920,11526,6249,7910,7789,8361,9967,8821,3999,1111,65723
SOS53,3091,3462,7313,7191,7115,5607,2881,991,168,37824,27702,18668,25814,28684,32883,33687,23786,8666,1662,201544
SOS57,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
SOS60,2504,1796,2276,1803,1706,1445,1171,784,385,13871,32330,23017,34119,25445,23082,22522,19880,11745,4848,196998
SOS61,3282,2215,2119,1917,1966,1901,1701,1243,587,16929,37365,24905,29027,24674,26362,28025,25894,16055,6182,218497
SOS62,429,254,266,272,349,413,359,217,107,2653,4841,2660,3154,3303,4018,5168,4774,2432,697,31039
SOS63,1573,992,938,1063,1263,1436,1087,442,126,8907,17991,10353,10379,12363,15378,18400,14309,5634,1154,105965
SOS67,0,0,28,25,30,30,0,0,0,114,5,21,62,80,90,75,33,3,0,366
SOS70,2860,2043,3470,2785,2355,2072,1339,444,120,17490,25800,15488,25522,20971,16938,14722,10630,3766,808,134643
SOS71,1259,733,1180,955,857,883,532,135,26,6561,11288,6601,9646,7941,6496,6016,3606,1051,242,52888
SOS72,586,302,452,315,372,461,347,68,7,2903,6082,4048,4561,3621,3326,3199,2145,471,59,27506
SOS73,1040,1000,1547,1364,1411,1316,1010,237,18,8944,7420,5078,6425,6001,6547,7058,5743,1378,145,45785
SOS77,0,11,15,38,39,36,11,3,0,156,0,37,58,105,120,106,42,10,0,482
SOS80,4672,4612,4764,3752,3100,2341,1755,1007,537,26534,82383,60775,77435,69014,55886,44609,34756,18995,7190,451046
SOS82,3,4,0,4,5,8,8,0,0,34,132,78,54,94,99,69,55,33,6,611
SOS83,7,28,18,4,17,19,16,3,0,104,94,140,133,61,71,74,58,9,7,649
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,27,33,95,66,70,53,40,6,0,401,276,121,261,240,258,227,175,36,4,1601
SOS92,69,36,48,50,54,83,59,41,5,439,429,277,293,321,349,540,374,187,48,2822
SOS93,28,36,124,63,49,28,22,18,0,370,117,87,186,130,162,121,120,69,10,999
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
