STE_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
1,260697,43354,37883,8120,8206,8622,9144,4740,1846,9340,391943,268318,102563,95136,27927,30536,34098,34837,11794,2881,9563,617663,59167,14492,17661,5481,6382,6407,8796,3137,1056,4256,126828,712,149,188,61,83,109,177,121,76,315,1993,328195,117207,112986,33471,36999,40620,43802,15053,4018,14133,746484,578,103,145,29,45,91,81,31,25,6917,8052,589476,160669,151010,41614,45253,49329,53035,19825,5886,30388,1146480,258313,40827,36923,8174,7941,8462,9350,4570,1739,9256,385556,283949,107605,103259,29494,30825,33138,35069,12566,3193,9263,648359,87732,21739,23210,7070,6812,6884,11361,4589,1271,5296,175968,794,154,175,60,72,103,166,89,50,396,2056,372479,129496,126646,36623,37702,40127,46598,17239,4514,14957,826386,672,127,154,40,42,75,77,36,22,5217,6463,631458,170449,163724,44834,45692,48664,56018,21843,6273,29433,1218399,519007,84178,74806,16289,16147,17085,18498,9308,3582,18600,777501,552267,210169,198396,57421,61363,67240,69902,24359,6077,18828,1266016,146899,36233,40877,12547,13190,13293,20154,7725,2332,9550,302798,1505,302,357,122,152,216,338,209,130,712,4042,700676,246706
2,201449,38799,32517,6409,6595,6992,7659,3134,1418,7631,312598,195190,107919,92188,24247,26285,30238,32353,10548,2600,7951,529510,41658,11199,14278,4021,4619,5350,7501,2882,993,3206,95700,636,184,155,51,52,82,168,81,61,322,1795,237481,119302,106621,28309,30956,35669,40017,13507,3656,11486,627010,444,114,158,43,53,50,81,21,15,3391,4365,439373,158216,139300,34766,37596,42704,47753,16671,5089,22496,943966,205821,36322,31611,6437,6688,6693,7223,3113,1308,7592,312801,206661,103655,100600,26312,27105,28563,31322,11262,3046,7728,546257,64107,16586,19754,5598,5799,6265,10004,4259,1194,4389,137968,676,168,171,48,56,77,150,80,59,374,1846,271444,120409,120527,31960,32957,34899,41478,15597,4305,12494,686072,533,113,159,36,59,52,55,23,12,1822,2860,477789,156842,152294,38432,39703,41644,48760,18734,5623,21911,1001733,407271,75125,64128,12841,13285,13681,14878,6248,2723,15222,625397,401846,211580,192795,50554,53390,58792,63674,21808,5645,15685,1075766,105762,27783,34030,9622,10421,11618,17509,7143,2193,7598,233671,1318,348,325,99,99,158,317,159,121,693,3646,508923,239716
3,200494,51809,33962,5617,5222,5621,6295,3432,1693,8586,322717,62638,47250,39466,9581,10229,12064,14732,5544,1549,3580,206638,8858,3900,4359,1163,1297,1869,3359,1361,496,1076,27735,176,76,79,36,21,44,70,58,52,142,753,71669,51229,43912,10778,11550,13978,18158,6956,2088,4805,235124,290,94,78,9,11,38,53,30,20,2098,2727,272448,103132,77947,16410,16778,19639,24505,10414,3806,15484,560564,207393,51878,35841,6203,5888,6108,6789,3501,1629,8462,333689,74556,51098,47666,11513,12016,13463,16338,6362,1811,3937,238763,13140,6081,6589,1800,1919,2472,4634,1906,501,1296,40328,237,97,84,30,21,33,78,48,25,166,820,87927,57275,54345,13344,13962,15964,21048,8312,2340,5402,279914,364,97,110,23,24,24,50,22,11,1241,1952,295684,109247,90289,19566,19871,22098,27892,11834,3973,15095,615555,407886,103682,69806,11820,11105,11729,13085,6930,3319,17049,656404,137190,98350,87133,21095,22246,25532,31075,11908,3359,7518,445394,21992,9980,10951,2961,3221,4335,7989,3262,997,2371,68065,409,172,164,66,47,75,143,100,75,309,1568,159599,108499
4,68465,10388,6550,1121,1104,1287,1428,827,300,2512,93980,28419,19738,17608,4905,5277,6454,7496,3087,484,1532,94999,5814,1897,2876,678,620,805,1363,601,225,496,15361,115,31,33,5,13,13,25,11,11,54,321,34346,21668,20516,5585,5912,7273,8888,3700,717,2085,110685,144,26,16,7,3,5,12,19,12,589,823,102958,32072,27087,6711,7019,8566,10326,4544,1023,5184,205482,72471,10448,6632,1165,1151,1333,1452,816,297,2804,98569,31400,19502,19198,5365,5792,6406,7319,2918,475,1478,99865,9235,2983,3482,914,904,1043,1971,870,236,692,22334,144,44,40,0,8,9,13,22,4,51,334,40784,22525,22719,6284,6708,7450,9306,3813,720,2225,122532,179,19,22,12,8,4,18,5,0,252,523,113430,32997,29372,7459,7863,8788,10771,4634,1024,5281,221627,140943,20838,13182,2284,2253,2620,2873,1636,595,5319,192550,59822,39234,36812,10268,11072,12855,14814,6006,960,3012,194863,15046,4879,6359,1591,1525,1842,3334,1478,459,1189,37700,258,75,66,10,22,17,40,38,13,110,661,75130,44190
5,147299,40713,30430,3179,2833,3021,3509,1953,927,5202,239068,46335,40339,34028,6209,5732,6817,8608,3462,870,2459,154852,6324,2965,2746,684,678,834,1527,717,240,671,17382,145,90,65,12,15,18,46,40,31,89,547,52802,43391,36843,6900,6421,7671,10173,4214,1137,3217,172776,269,86,69,12,15,12,27,17,6,1814,2327,200372,84195,67343,10088,9273,10707,13716,6188,2072,10228,414169,152047,38839,30385,3627,3153,3254,3863,2087,873,5033,243171,52460,40191,39954,7762,7033,7866,9266,3910,951,2580,171979,9785,4691,4505,1064,1026,1205,2351,1283,359,888,27165,156,71,74,17,11,20,40,12,12,107,528,62402,44945,44534,8845,8075,9090,11660,5208,1324,3582,199672,263,60,53,15,17,15,25,12,3,644,1103,214715,83850,74968,12485,11236,12362,15547,7310,2200,9262,443945,299344,79558,60816,6802,5989,6281,7372,4042,1802,10233,482241,98802,80528,73982,13963,12767,14687,17873,7369,1820,5039,326826,16112,7651,7258,1745,1704,2034,3877,2001,598,1561,44543,297,164,143,30,28,39,84,53,42,196,1073,115211,88339
6,16560,1827,1374,294,263,349,319,173,56,769,21982,2662,2232,5457,1948,1890,1668,1376,480,83,306,18098,239,134,380,151,141,127,208,82,25,44,1523,17,9,9,3,3,8,14,5,4,15,81,2914,2370,5845,2103,2034,1800,1593,568,111,361,19704,31,0,6,4,3,0,5,3,0,84,134,19513,4202,7217,2406,2300,2147,1914,739,166,1211,41817,17152,1927,1442,344,305,303,338,151,62,732,22757,3436,2396,4696,1819,1856,1745,1543,497,102,327,18418,312,216,482,166,164,177,271,119,26,47,1977,16,10,4,0,3,5,21,4,0,18,76,3762,2617,5183,1981,2023,1926,1831,619,130,392,20468,43,3,6,6,5,0,0,0,0,51,114,20960,4552,6629,2328,2331,2233,2171,779,188,1178,43343,33718,3756,2814,639,568,644,660,327,117,1500,44735,6091,4627,10156,3766,3751,3410,2921,978,190,633,36517,552,352,862,310,304,306,478,197,46,87,3497,33,12,15,10,5,14,27,7,6,29,160,6679,4996
7,6608,1393,1360,274,235,290,400,202,138,353,11257,2762,2835,3437,1105,1048,970,965,357,92,286,13858,390,154,150,41,37,54,108,66,16,53,1074,12,9,9,0,0,5,7,5,3,7,53,3157,3000,3587,1152,1085,1028,1083,429,114,352,14985,15,3,16,5,5,7,7,3,0,112,171,9782,4400,4966,1430,1326,1323,1490,638,257,812,26421,6349,1423,1566,292,273,324,431,214,120,318,11297,3222,2745,3679,1169,1165,1148,1284,436,118,260,15233,597,247,253,59,59,77,196,103,22,64,1664,15,10,8,0,0,0,7,11,0,7,51,3832,3000,3941,1232,1227,1228,1484,542,137,333,16950,10,5,0,0,0,0,5,3,0,50,83,10182,4422,5508,1528,1500,1559,1919,755,253,698,28327,12953,2814,2929,568,511,615,830,415,259,672,22559,5982,5584,7118,2280,2211,2120,2250,792,206,549,29088,984,397,402,99,98,129,301,162,39,112,2743,25,18,7,0,4,5,14,9,3,15,107,6990,5998
8,15318,2362,2180,396,375,423,429,284,136,483,22387,11629,6830,7793,2102,2562,2407,1842,769,175,560,36673,1072,471,606,145,265,260,393,144,38,168,3562,16,11,19,3,3,7,5,0,4,12,82,12713,7314,8421,2251,2835,2674,2237,909,220,742,40315,24,10,9,4,7,0,0,3,0,121,181,28053,9687,10611,2650,3218,3096,2670,1198,359,1347,62889,15901,2370,2213,405,398,395,397,266,132,431,22898,12695,7317,8450,2201,2637,2558,2126,902,199,469,39545,1668,693,821,195,234,266,491,232,48,138,4787,25,11,11,3,9,3,7,6,0,14,90,14386,8023,9277,2397,2877,2825,2623,1140,255,625,44425,33,7,7,3,5,7,10,4,0,75,145,30317,10396,11496,2802,3274,3221,3025,1402,387,1125,67459,31216,4738,4395,799,769,814,822,542,271,910,45283,24325,14144,16247,4304,5199,4964,3967,1665,377,1026,76220,2741,1165,1426,341,502,525,884,381,91,303,8352,36,19,27,7,8,13,12,9,5,29,173,27098,15331
9,195,33,20,4,4,7,8,9,4,14,297,132,43,37,11,4,0,4,0,0,26,270,76,6,9,0,4,3,0,0,0,3,91,0,0,0,0,0,0,0,0,0,0,0,208,44,47,11,4,8,4,0,0,29,363,3,0,0,0,0,0,0,0,0,214,213,399,82,69,16,12,12,11,9,4,257,873,204,24,30,8,8,0,6,9,0,22,304,134,33,45,15,5,6,5,6,0,29,265,56,11,5,0,4,0,0,0,0,5,82,0,0,0,0,0,0,0,0,0,0,3,193,45,48,16,7,8,0,6,0,31,350,3,0,0,0,0,0,0,0,0,0,5,396,67,80,22,16,10,9,12,3,53,661,399,57,56,8,11,10,10,13,6,40,603,267,73,81,23,10,6,4,8,0,52,535,130,13,11,0,6,10,0,0,0,9,171,0,0,0,0,0,0,0,0,0,0,5,401,86
