STE_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
1,32477,29964,62448,15567,18657,34228,803,385,1188,711,604,1316,2312,2429,4736,903371,683830,1587205,48819,68072,116888,25825,601,26424,13179,1723,14902,10943,3484,14424,10603,6615,17215,44813,47224,92037,1109423,863589,1973014,10162,12204,22363,116,90,202,421,470,891,4113,2317,6426,802,1459,2260,1039,574,1614,16653,17103,33754,121,86,203,246,274,520,961,740,1699,687,1441,2124,501,577,1074,2505,3118,5623,9938,5312,15250,29093,25535,54628,3297,3373,6669,358,409,766,459,159,622,4118,3941,8056,530935,609013,1139952,209838,276026,485873,10017,7902,17919,1893429,1786008,3679434
2,27097,24823,51924,7540,10187,17727,445,162,605,9056,11506,20565,3347,3100,6451,908948,667601,1576556,47891,61956,109845,15976,379,16355,6766,871,7636,15615,6594,22204,8529,4987,13514,35204,37164,72358,1086411,829325,1915738,4938,6075,11016,7,5,8,2707,3341,6042,5008,3132,8138,709,1393,2106,1296,693,1988,14661,14644,29304,15,0,14,641,818,1463,638,517,1157,638,1281,1920,318,412,721,2243,3030,5280,10068,6223,16282,26975,23896,50861,4299,5213,9516,349,447,794,593,290,882,5239,5949,11188,377262,434774,812035,129165,218778,347944,8509,6750,15263,1633561,1519464,3153029
3,13475,13860,27335,19102,21827,40933,1167,899,2066,693,1049,1740,3052,3380,6434,774778,679990,1454765,47123,62773,109898,18123,516,18644,14252,1709,15958,12630,4514,17147,10115,4601,14714,31151,32039,63189,945663,827165,1772824,2147,2575,4723,10,5,19,82,81,158,3168,3127,6289,534,791,1322,746,316,1068,6683,6902,13582,351,250,603,175,309,487,1488,1444,2935,634,1457,2095,639,558,1200,3297,4012,7310,10179,6044,16223,20161,16958,37119,1284,1511,2791,815,625,1440,592,257,851,2688,2391,5084,156651,190362,347013,110689,162992,273684,6642,5694,12337,1242498,1205562,2448063
4,2627,2732,5361,11674,14777,26453,96,37,134,971,1325,2299,1065,1116,2184,291458,244523,535984,14773,21344,36118,3920,123,4044,3017,360,3374,5434,1883,7308,3724,1129,4854,10317,9852,20169,349075,299206,648282,494,481,978,0,0,0,59,96,152,535,572,1106,70,125,193,85,49,138,1232,1323,2561,3,6,7,182,258,440,1130,1345,2472,391,910,1301,304,303,604,2006,2826,4829,3299,2503,5802,6544,6650,13198,311,433,743,263,339,603,157,77,232,729,850,1582,37926,42702,80628,33670,55604,89275,2264,1890,4151,430212,406903,837114
5,11554,11533,23083,23010,15060,38073,189,96,280,34,21,56,2272,1900,4173,431550,380125,811682,27862,32837,60703,7479,287,7762,3268,414,3683,6565,2190,8760,15861,3944,19806,14416,13863,28274,544061,462266,1006332,6798,6592,13392,9,7,25,0,4,5,4748,4336,9091,671,935,1608,501,191,690,12741,12071,24809,14,8,22,6,8,15,1178,915,2093,563,939,1500,933,445,1379,2689,2314,5009,5945,2859,8807,21378,17249,38618,2196,2584,4783,701,296,1001,367,122,487,3272,3001,6269,43028,55471,98498,68944,84823,153765,3682,2537,6216,684356,625345,1309706
6,23,13,36,2409,3672,6079,56,55,107,5,3,5,342,409,754,88274,74871,163147,5283,8067,13354,1683,44,1731,1007,124,1133,1241,521,1770,826,349,1178,5175,5566,10739,106326,93693,200021,0,8,8,0,0,0,0,0,0,21,19,45,0,0,3,5,6,9,23,35,58,3,8,11,0,0,0,217,351,571,159,330,486,69,82,150,448,770,1219,962,724,1682,1434,1532,2964,8,7,16,62,105,173,42,21,67,115,136,252,9526,10970,20495,11136,18005,29138,900,710,1609,129437,125045,254482
7,19,16,28,1226,1199,2423,23,10,36,9,6,17,189,214,400,36920,32601,69522,2853,4561,7412,563,43,605,935,216,1147,1312,906,2215,1408,519,1925,4281,4624,8903,49731,44909,94639,0,6,3,0,0,0,0,0,0,10,11,22,6,5,9,0,4,4,23,25,47,5,0,3,0,0,0,63,53,120,51,105,158,58,34,94,177,192,372,627,437,1063,822,654,1476,5,0,5,54,49,102,42,33,77,103,80,183,2239,3071,5306,6196,7660,13859,591,461,1050,59675,56842,116512
8,64,44,106,4047,5044,9089,26,0,28,1038,1252,2287,277,320,600,79187,68032,147216,4191,8374,12568,978,31,1007,1603,186,1781,3490,1744,5234,745,306,1050,5152,4974,10119,100793,90300,191100,18,12,30,0,0,0,0,0,0,12,20,37,0,0,4,3,0,5,40,42,78,0,0,0,646,736,1387,249,300,551,151,456,603,164,147,308,1209,1640,2849,1364,1065,2427,2613,2748,5354,7,6,19,172,239,412,70,39,107,251,283,538,12868,14319,27187,8792,14885,23681,340,253,596,125660,122796,248457
9,0,0,0,37,48,83,16,12,23,0,0,0,0,0,0,729,696,1425,43,70,111,73,10,85,50,12,70,17,12,24,35,22,62,144,104,247,1149,982,2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,28,0,0,0,6,0,3,0,0,0,0,0,0,14,20,38,17,18,34,32,36,67,0,0,0,4,9,13,0,0,0,12,9,12,57,76,137,108,127,233,9,11,22,1370,1244,2614
